#group,false,false,true,true,false,false,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string
#default,last,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,appname,facility,host,hostname,severity
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:22:40Z,1611235359218933000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:22:50Z,1611235369234155000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:23:00Z,1611235379222929000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:23:10Z,1611235389243304000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:23:20Z,1611235399244808000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:23:30Z,1611235409231656000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:23:40Z,1611235419245273000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:23:50Z,1611235429255654000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info
,,1,2021-01-21T13:19:50.73531105Z,2021-01-21T13:24:50.73531105Z,2021-01-21T13:24:00Z,1611235432255193000,timestamp,syslog,telegraf,daemon,maha-VirtualBox,maha-VirtualBox,info

